Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
397,David Roddy,23,3TM,PF,33,3,410,6.5,14.4,0.456,2.2,7,0.311,4.4,7.4,0.594,0.532,2.3,3,0.769,1.5,8.2,9.6,4,1.6,1,2.5,2.3,17.6,109,115
397,David Roddy,23,ATL,PF,27,3,346,5.9,12.6,0.473,2.2,5.8,0.372,3.8,6.8,0.56,0.559,2.4,3,0.818,1.5,8,9.5,4.1,1.6,1.1,2.7,2.4,16.5,112,115
397,David Roddy,23,PHI,PF,3,0,29,13.6,32.3,0.421,3.4,18.7,0.182,10.2,13.6,0.75,0.474,0,0,,3.4,11.9,15.3,5.1,3.4,0,1.7,1.7,30.6,102,112
397,David Roddy,23,HOU,PF,3,0,35,7,18.1,0.385,1.4,9.7,0.143,5.6,8.3,0.667,0.423,2.8,5.6,0.5,0,7,7,2.8,0,1.4,1.4,1.4,18.1,96,114
398,Taj Gibson,39,CHO,C,37,11,409,5.7,11.4,0.495,0.1,0.2,0.5,5.5,11.2,0.495,0.5,1.4,2.4,0.6,6.1,8.3,14.4,2.5,1.1,2.2,3,6.5,12.9,105,115
399,Ousmane Dieng,21,OKC,C,37,1,405,6.4,14.8,0.432,2.7,8.4,0.324,3.7,6.4,0.574,0.524,1.3,1.9,0.688,2.1,7.5,9.6,3.7,2,0.8,2.1,3.9,16.8,109,108
400,Jordan Walsh,20,BOS,PF,52,1,403,3.7,10.3,0.361,1.9,6.8,0.273,1.9,3.5,0.536,0.452,0.9,1.5,0.583,2.9,5.7,8.6,2.4,1.5,1.4,2.1,3.7,10.2,99,112
401,Hunter Tyson,24,DEN,PF,51,2,400,5.4,14.4,0.375,2.8,8.9,0.311,2.6,5.5,0.478,0.471,2.5,3.4,0.75,3,6.4,9.4,2.4,1.2,0.7,1.7,5.3,16.1,109,118
402,Anthony Gill,32,WAS,PF,51,0,397,5.2,10.5,0.489,1.2,3.7,0.323,4,6.8,0.579,0.545,4,6,0.66,2.2,5.8,7.9,1.9,1.1,0.2,1.2,3.6,15.5,119,122
403,Devin Carter,22,SAC,PG,36,0,396,5.8,15.7,0.37,2.2,7.5,0.295,3.6,8.2,0.439,0.441,3.2,5.4,0.591,2.3,7,9.4,5.1,2.6,0.5,2.2,4.8,17,104,114
404,Jeff Green,38,HOU,PF,32,3,396,7.5,14.9,0.504,3.6,9.7,0.367,3.9,5.2,0.762,0.624,2.6,3.2,0.808,1.4,5.8,7.1,2.5,0.7,0.5,1.1,3.9,21.1,134,114
405,Trey Jemison,25,2TM,C,38,0,392,5.1,9.2,0.554,0,0,,5.1,9.2,0.554,0.554,1.6,4.1,0.394,5.5,7.6,13.1,2,1.1,1.9,3,8.6,11.8,104,116
405,Trey Jemison,25,NOP,C,16,0,166,4.4,9.3,0.469,0,0,,4.4,9.3,0.469,0.469,2.3,6.1,0.381,6.4,6.4,12.8,2.9,2,1.8,2.9,7.9,11.1,100,118
405,Trey Jemison,25,LAL,C,22,0,226,5.7,9.1,0.619,0,0,,5.7,9.1,0.619,0.619,1.1,2.6,0.417,4.8,8.5,13.3,1.3,0.4,2,3,9.1,12.4,108,115
406,Reggie Jackson,34,PHI,PG,31,1,384,6.7,17.1,0.391,3.2,9.5,0.338,3.5,7.6,0.458,0.485,0.9,1.2,0.778,1,4.4,5.4,5.8,2.1,0.4,2.2,4.4,17.5,104,120
407,Baylor Scheierman,24,BOS,SG,31,2,384,5.1,14.4,0.355,3.4,10.7,0.317,1.7,3.7,0.464,0.473,1.2,1.6,0.75,2.5,6,8.5,4.3,2.2,0.3,1.6,2.9,14.8,111,111
408,Quenton Jackson,26,IND,PG,28,7,381,7.3,15.4,0.475,1.9,5,0.375,5.4,10.3,0.524,0.537,3.9,5,0.775,1.8,3.8,5.6,6.7,2.6,0.6,2,5.4,20.4,121,114
409,Alex Len,31,2TM,C,46,7,380,4.1,8.1,0.508,0.3,1.2,0.222,3.9,7,0.556,0.524,1,2.2,0.471,4.9,7.3,12.2,4.9,1.2,2.7,2.6,7.2,9.5,114,114
409,Alex Len,31,SAC,C,36,3,258,4.2,7.8,0.537,0.2,1.1,0.167,4,6.6,0.6,0.549,1.3,2.5,0.538,4.7,7.4,12.1,5.7,1.5,3.4,2.1,6.6,9.9,124,113
409,Alex Len,31,LAL,C,10,4,122,4,8.9,0.455,0.4,1.2,0.333,3.6,7.7,0.474,0.477,0.4,1.6,0.25,5.2,7.3,12.5,3.2,0.4,1.2,3.6,8.5,8.9,96,117
410,Johnny Furphy,20,IND,SG,50,0,379,4.4,11.7,0.38,1.9,6.3,0.3,2.5,5.3,0.476,0.462,2.3,2.8,0.818,2.9,6.1,9,2.4,2.3,1.4,1.5,5.2,13.1,108,113
411,Charles Bassey,24,SAS,C,36,1,376,8.7,15,0.581,0,0,,8.7,15,0.581,0.581,2.7,4.2,0.636,7.2,12.3,19.5,2.2,1.8,3.9,3,6.4,20.2,118,110
412,Dominick Barlow,21,ATL,SF,35,4,375,7.5,14.1,0.531,0.9,3.4,0.259,6.6,10.7,0.616,0.562,2.6,4.1,0.636,4.4,6.2,10.6,2.4,1.1,2,0.6,5.9,18.5,129,116
413,Dante Exum,29,DAL,PG,20,13,372,8.3,17.4,0.478,3,6.9,0.434,5.3,10.5,0.506,0.563,3,4,0.742,0.5,3.8,4.3,7.3,1.6,0.4,2.9,4.4,22.6,116,119
414,Damion Baugh,24,CHO,SG,15,2,370,5.6,17.3,0.323,1.6,7.4,0.214,4,9.8,0.405,0.369,1.7,2,0.867,1.9,4.8,6.6,7.4,2,0.3,4.1,2.9,14.5,87,118
415,Jaden Springer,22,2TM,SG,43,2,365,4.7,12,0.389,1.6,6.4,0.25,3.1,5.6,0.548,0.456,3.6,5.1,0.711,2.3,5.5,7.8,4.4,3.2,0.5,2.1,5.6,14.6,110,114
415,Jaden Springer,22,BOS,SG,26,0,141,4.3,12.1,0.353,2.1,6.8,0.316,2.1,5.3,0.4,0.441,5.3,7.5,0.714,1.4,7.1,8.5,3.6,4.3,0.4,1.4,6,16,115,106
415,Jaden Springer,22,UTA,PG,17,2,224,4.9,12,0.411,1.3,6.2,0.207,3.6,5.8,0.63,0.464,2.6,3.6,0.706,2.8,4.5,7.3,4.9,2.6,0.6,2.6,5.4,13.7,107,119
416,Robert Williams,27,POR,C,20,3,351,6.9,10.8,0.641,0.1,0.4,0.333,6.8,10.4,0.653,0.647,2.1,2.4,0.882,4.8,11.5,16.3,2.9,1.8,4.6,2.4,4.3,16.1,130,107
417,Doug McDermott,33,SAC,SF,42,3,342,7.1,16.7,0.427,6.3,14.4,0.436,0.9,2.3,0.375,0.615,0.4,0.7,0.6,0.4,2.7,3.1,1,0.6,0.3,0.9,4.3,21,119,122
418,Christian Koloko,24,LAL,C,37,0,342,5.8,9.5,0.606,0,0.6,0,5.8,8.9,0.645,0.606,1.4,2,0.714,5,8.2,13.2,2.3,1.2,2.3,1.7,6.3,12.9,128,113
419,Terrence Shannon Jr.,24,MIN,SG,32,1,339,8,16.6,0.482,1.6,4.5,0.355,6.4,12.1,0.53,0.531,2.5,3.1,0.81,1.5,5.4,6.8,4.7,1,0.7,2.2,3.9,20.1,114,114
420,Keion Brooks Jr.,24,NOP,SF,14,6,332,7.7,15.9,0.486,2,6.3,0.326,5.7,9.6,0.591,0.55,3.2,4.4,0.733,1.8,6.7,8.5,1.9,1.5,1.5,1.8,4.4,20.7,114,120
421,Tristan Thompson,33,CLE,C,40,0,328,4.5,10.4,0.437,0,0.4,0,4.5,10,0.456,0.437,1,4.4,0.233,4.7,15,19.6,3.5,0.3,1.6,2.1,5.3,10.1,100,109
422,Maxwell Lewis,22,2TM,SF,28,1,327,6.8,16.4,0.417,2.9,7.6,0.38,4,8.8,0.448,0.505,1.1,1.5,0.7,2.7,5.6,8.4,2.9,1.4,1.1,2.1,4.4,17.6,104,117
422,Maxwell Lewis,22,LAL,SF,7,0,29,3.4,10.2,0.333,0,0,,3.4,10.2,0.333,0.333,0,0,,3.4,0,3.4,3.4,1.7,0,3.4,1.7,6.8,78,120
