Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P FGA,0-3 FGA,3-10 FGA,10-16 FGA,16-3P FGA,3P FGA,2P FG,0-3 FG,3-10 FG,10-16 FG,16-3P,3P FG,2P Assist,3P Assist ,%FGA Dunks,Total Dunks,%3PA Corner,3P% Corner
544,Daniss Jenkins,23,DET,PG,7,0,23,0.3,18.5,0.3,0.3,0,0,0,0.7,0.667,0.667,,,,0.143,0,0,0,0,0.143,0
545,Anton Watson,24,NYK,SF,9,0,22,0.444,6.4,0.889,0.444,0.444,0,0,0.111,0.5,0.75,0.25,,,0,0.75,,0.111,1,0,
546,Tolu Smith,24,DET,PF,1,0,22,0.667,1.6,1,0.889,0.111,0,0,0,0.667,0.75,0,,,,0.667,,0,0,,
547,Malevy Leons,25,OKC,SF,6,0,21,0,15.3,0.5,0,0.5,0,0,0.5,0,,0,,,0,,,0,0,1,0
548,Adama Sanogo,22,CHI,C,4,0,21,0.571,2.1,1,0.714,0.286,0,0,0,0.571,0.6,0.5,,,,0.5,,0.143,0,,
549,Taze Moore,26,POR,SG,2,0,20,0.2,19.1,0.6,0.2,0.3,0.1,0,0.4,0.167,0.5,0,0,,0.25,0,1,0.1,1,0,
550,Ron Harper Jr.,24,DET,SF,1,0,17,0.125,20.4,0.25,0.125,0.125,0,0,0.75,0.5,0,1,,,0,1,,0,0,0.5,0
551,Isaiah Mobley,25,PHI,PF,1,0,17,0.286,14.6,0.571,0.143,0.286,0.143,0,0.429,0.25,1,0,0,,0.333,0,1,0,0,0.333,0
552,Yuri Collins,23,GSW,PG,2,0,16,0.333,14.1,1,0,0,0.667,0.333,0,0.333,,,0,1,,0,,0,0,,
553,Tristen Newton,23,2TM,SG,8,0,16,0.125,13.8,0.625,0.125,0.25,0.25,0,0.375,0.2,1,0,0,,0,0,,0,0,0,
553,Tristen Newton,23,IND,SG,5,0,8,0.167,16.8,0.5,0.167,0.167,0.167,0,0.5,0.333,1,0,0,,0,0,,0,0,0,
553,Tristen Newton,23,MIN,SG,3,0,8,0,10.8,1,0,0.5,0.5,0,0,0,,0,0,,,,,0,0,,
554,Daishen Nix,22,MIN,PG,3,0,13,0,24.8,0,0,0,0,0,1,,,,,,0,,,0,0,0,
555,Skal Labissière,28,SAC,PF,4,0,12,0.5,15.2,0.75,0,0.25,0.5,0,0.25,0.333,,0,0.5,,1,1,1,0,0,0,
556,Braxton Key,27,GSW,SF,3,0,11,0,11.5,0.75,0,0.5,0.25,0,0.25,0,,0,0,,0,,,0.25,0,0,
557,Cui Yongxi,21,BRK,SG,5,0,10,0.143,12.2,0.571,0.429,0.143,0,0,0.429,0.25,0.333,0,,,0,1,,0,0,0.667,0
558,Mac McClung,26,ORL,SG,2,0,10,0,17.6,0.5,0,0.5,0,0,0.5,0,,0,,,0,,,0,0,0,
559,Quincy Olivari,23,LAL,PG,2,0,10,0.2,25.8,0,0,0,0,0,1,,,,,,0.2,,1,0,0,0.2,0
560,Terence Davis,27,SAC,SG,1,0,8,0,21.1,0.5,0,0,0.5,0,0.5,0,,,0,,0,,,0,0,0,
561,Jalen McDaniels,27,WAS,SF,4,0,7,,,,,,,,,,,,,,,,,,0,,
562,Riley Minix,24,SAS,SF,1,0,7,0,30.4,0,0,0,0,0,1,,,,,,0,,,0,0,0,
563,Isaiah Stevens,24,MIA,PG,3,0,6,0,17.1,0.5,0,0.5,0,0,0.5,0,,0,,,0,,,0,0,0,
564,Terry Taylor,25,SAC,PF,3,0,6,0,5.9,1,0,1,0,0,0,0,,0,,,,,,0,0,,
565,Jesse Edwards,24,MIN,C,2,0,5,,,,,,,,,,,,,,,,,,0,,
566,James Wiseman,23,IND,C,1,0,5,0.5,14.1,0.75,0,0.5,0,0.25,0.25,0.667,,1,,0,0,1,,0,0,0,
567,Alondes Williams,25,DET,SG,1,0,4,1,13.5,0.5,0.5,0,0,0,0.5,1,1,,,,1,0,1,0,0,0,
568,Zyon Pullin,23,MEM,SG,3,0,3,0,8.8,1,0,1,0,0,0,0,,0,,,,,,0,0,,
569,Jahlil Okafor,29,IND,C,1,0,3,,,,,,,,,,,,,,,,,,0,,
