Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
527,Malachi Flynn,26,CHO,PG,4,0,44,0.385,0.444,0.25,0.423,0.833,0.512,0.462,0.308,82,82,69,78,107,89,190,73,-3.1,-2
528,Jack McVeigh,28,HOU,PF,9,0,43,0.294,0.25,0.308,0.412,,0.412,0,0.765,63,46,85,76,,71,0,182,-4.5,-5.6
529,Bobi Klintman,21,DET,SF,8,0,42,0.6,0.8,0.4,0.7,0.5,0.689,0.2,0.5,128,147,111,129,64,120,82,119,3.1,2.5
530,James Johnson,37,IND,PF,12,0,37,0.364,0.5,0,0.364,0,0.35,0.091,0.273,78,92,0,67,0,61,37,65,-3.9,-5.2
531,PJ Dozier,28,MIN,SG,9,0,35,0.667,,0.667,1,0.167,0.621,2,1,143,,185,184,21,108,824,237,2.7,0.5
532,Harrison Ingram,22,SAS,SF,5,0,35,0.5,0.667,0,0.5,,0.5,0,0.25,107,122,0,92,,87,0,59,-0.3,-0.6
533,Miles Norris,24,BOS,PF,3,0,35,0.222,0,0.286,0.333,0.5,0.354,0.222,0.778,48,0,79,61,64,61,92,185,-3.8,-4.4
534,David Duke Jr.,25,SAS,SG,6,0,34,0.429,0.375,0.5,0.536,0.5,0.538,0.143,0.429,92,69,139,99,64,93,59,102,-0.2,-1.1
535,D.J. Carton,24,TOR,SG,4,0,33,0.143,0.25,0,0.143,1,0.202,0.143,0.429,31,46,0,26,128,35,59,102,-5.6,-5.6
536,Bryce McGowens,22,POR,SG,13,0,32,0.286,0.4,0,0.286,0.833,0.391,0.429,0.286,61,73,0,53,107,68,176,68,-7.2,-6.2
537,Leonard Miller,21,MIN,SF,13,0,32,0.4,0.6,0,0.4,1,0.54,0.533,0.333,86,110,0,74,128,94,220,79,-4.3,-1.3
538,Ulrich Chomche,19,TOR,PF,7,0,32,0.4,0.4,,0.4,0.5,0.425,0.4,0,86,73,,74,64,74,165,0,-1.4,-1.8
539,Jalen Bridges,23,PHO,SF,8,0,30,0.286,,0.286,0.429,0.75,0.514,0.571,1,61,,79,79,96,89,235,237,-1.6,-1.1
